date,Production(KWh),Consumption(KWh)
2023-11-28 0:00:00,0.0,7.12
2023-11-28 1:00:00,0.0,7.08
2023-11-28 2:00:00,0.0,7.02
2023-11-28 3:00:00,0.0,6.85
2023-11-28 4:00:00,0.0,6.96
2023-11-28 5:00:00,0.0,6.86
2023-11-28 6:00:00,0.0,6.36
2023-11-28 7:00:00,0.0,5.9
2023-11-28 8:00:00,3.12,5.37
2023-11-28 9:00:00,12.1,5.33
2023-11-28 10:00:00,15.97,5.49
2023-11-28 11:00:00,21.01,5.84
2023-11-28 12:00:00,21.31,6.25
2023-11-28 13:00:00,20.1,6.83
2023-11-28 14:00:00,14.23,7.23
2023-11-28 15:00:00,13.38,7.54
2023-11-28 16:00:00,1.76,7.81
2023-11-28 17:00:00,0.71,8.26
2023-11-28 18:00:00,0.0,8.72
2023-11-28 19:00:00,0.0,9.25
2023-11-28 20:00:00,0.0,9.65
2023-11-28 21:00:00,0.0,9.75
2023-11-28 22:00:00,0.0,9.54
2023-11-28 23:00:00,0.0,9.18
