date,Production(KWh),Consumption(KWh)
2023-12-29 0:00:00,0.0,8.53
2023-12-29 1:00:00,0.0,8.58
2023-12-29 2:00:00,0.0,8.74
2023-12-29 3:00:00,0.0,8.8
2023-12-29 4:00:00,0.0,8.69
2023-12-29 5:00:00,0.0,8.66
2023-12-29 6:00:00,0.0,8.63
2023-12-29 7:00:00,1.07,8.66
2023-12-29 8:00:00,1.71,8.66
2023-12-29 9:00:00,12.28,8.69
2023-12-29 10:00:00,23.56,8.72
2023-12-29 11:00:00,32.01,8.87
2023-12-29 12:00:00,33.01,9.02
2023-12-29 13:00:00,32.74,8.96
2023-12-29 14:00:00,17.43,8.77
2023-12-29 15:00:00,5.06,8.75
2023-12-29 16:00:00,1.19,8.77
2023-12-29 17:00:00,0.0,8.8
2023-12-29 18:00:00,0.0,8.92
2023-12-29 19:00:00,0.0,9.14
2023-12-29 20:00:00,0.0,9.34
2023-12-29 21:00:00,0.0,9.42
2023-12-29 22:00:00,0.0,9.5
2023-12-29 23:00:00,0.0,9.36
