date,Production(KWh),Consumption(KWh)
2023-08-30 0:00:00,0.0,10.25
2023-08-30 1:00:00,0.0,9.3
2023-08-30 2:00:00,0.0,7.67
2023-08-30 3:00:00,0.0,7.08
2023-08-30 4:00:00,0.0,6.93
2023-08-30 5:00:00,0.0,7.23
2023-08-30 6:00:00,1.46,7.63
2023-08-30 7:00:00,2.95,7.85
2023-08-30 8:00:00,15.42,7.7
2023-08-30 9:00:00,27.55,7.66
2023-08-30 10:00:00,36.36,7.77
2023-08-30 11:00:00,39.79,8.18
2023-08-30 12:00:00,40.87,8.94
2023-08-30 13:00:00,41.75,9.87
2023-08-30 14:00:00,39.88,10.59
2023-08-30 15:00:00,35.3,10.88
2023-08-30 16:00:00,24.85,10.86
2023-08-30 17:00:00,12.67,10.53
2023-08-30 18:00:00,3.43,10.04
2023-08-30 19:00:00,0.73,9.84
2023-08-30 20:00:00,0.0,9.97
2023-08-30 21:00:00,0.0,10.06
2023-08-30 22:00:00,0.0,9.96
2023-08-30 23:00:00,0.0,9.57
