date,Production(KWh),Consumption(KWh)
2023-08-24 0:00:00,0.0,7.856124
2023-08-24 1:00:00,0.0,7.5333824
2023-08-24 2:00:00,0.0,7.375608
2023-08-24 3:00:00,0.0,7.442459
2023-08-24 4:00:00,0.0,7.555049
2023-08-24 5:00:00,0.0,7.6508355
2023-08-24 6:00:00,0.98983735,7.601964
2023-08-24 7:00:00,3.5765474,7.724107
2023-08-24 8:00:00,15.877709,7.281227
2023-08-24 9:00:00,27.7902,7.922681
2023-08-24 10:00:00,28.269371,8.732609
2023-08-24 11:00:00,39.500355,9.755819
2023-08-24 12:00:00,17.206116,10.840035
2023-08-24 13:00:00,26.736097,11.604779
2023-08-24 14:00:00,14.791398,12.162803
2023-08-24 15:00:00,15.8328285,12.314141
2023-08-24 16:00:00,12.844132,12.027431
2023-08-24 17:00:00,15.053201,11.825528
2023-08-24 18:00:00,3.6527212,11.855601
2023-08-24 19:00:00,0.7596225,11.8947935
2023-08-24 20:00:00,0.0,11.695573
2023-08-24 21:00:00,0.0,11.188143
2023-08-24 22:00:00,0.0,10.373843
2023-08-24 23:00:00,0.0,9.451609
