date,Production(KWh),Consumption(KWh)
2023-12-26 0:00:00,0.0,8.43
2023-12-26 1:00:00,0.0,8.59
2023-12-26 2:00:00,0.0,8.59
2023-12-26 3:00:00,0.0,8.53
2023-12-26 4:00:00,0.0,8.24
2023-12-26 5:00:00,0.0,8.04
2023-12-26 6:00:00,0.0,7.72
2023-12-26 7:00:00,1.09,7.65
2023-12-26 8:00:00,1.35,7.68
2023-12-26 9:00:00,8.08,7.86
2023-12-26 10:00:00,27.34,7.85
2023-12-26 11:00:00,34.3,8.02
2023-12-26 12:00:00,35.11,8.05
2023-12-26 13:00:00,32.06,7.85
2023-12-26 14:00:00,16.81,7.96
2023-12-26 15:00:00,7.55,8.18
2023-12-26 16:00:00,1.25,8.64
2023-12-26 17:00:00,0.0,9.48
2023-12-26 18:00:00,0.0,9.96
2023-12-26 19:00:00,0.0,9.99
2023-12-26 20:00:00,0.0,10.01
2023-12-26 21:00:00,0.0,10.43
2023-12-26 22:00:00,0.0,8.19
2023-12-26 23:00:00,0.0,8.23
