date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-08-21 0:00:00,0.2,0.0,0.0,0.3
2020-08-21 1:00:00,0.0,0.0,0.0,0.1
2020-08-21 2:00:00,0.0,0.0,0.0,0.1
2020-08-21 3:00:00,0.0,0.0,0.0,0.1
2020-08-21 4:00:00,0.0,0.0,0.0,0.0
2020-08-21 5:00:00,0.0,0.0,0.0,0.1
2020-08-21 6:00:00,0.0,0.0,0.0,0.0
2020-08-21 7:00:00,0.0,0.0,0.0,0.0
2020-08-21 8:00:00,0.0,0.1,0.1,0.1
2020-08-21 9:00:00,0.0,0.4,0.4,0.0
2020-08-21 10:00:00,0.0,0.4,0.5,0.0
2020-08-21 11:00:00,0.0,1.2,1.3,0.1
2020-08-21 12:00:00,0.0,1.6,1.8,0.3
2020-08-21 13:00:00,0.0,1.7,1.8,0.1
2020-08-21 14:00:00,0.0,1.6,1.7,0.1
2020-08-21 15:00:00,0.7,0.8,1.4,0.1
2020-08-21 16:00:00,0.4,0.5,1.0,1.6
2020-08-21 17:00:00,1.3,0.2,0.5,2.5
2020-08-21 18:00:00,1.0,0.0,0.3,1.2
2020-08-21 19:00:00,0.1,0.0,0.1,0.2
2020-08-21 20:00:00,0.1,0.0,0.0,0.2
2020-08-21 21:00:00,0.5,0.0,0.0,0.5
2020-08-21 22:00:00,0.5,0.0,0.0,0.6
2020-08-21 23:00:00,0.4,0.0,0.0,0.4
