date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-07-29 0:00:00,0.2,0.0,0.0,0.2
2020-07-29 1:00:00,0.4,0.0,0.0,0.4
2020-07-29 2:00:00,0.5,0.0,0.0,0.6
2020-07-29 3:00:00,0.6,0.0,0.0,0.6
2020-07-29 4:00:00,0.6,0.0,0.0,0.6
2020-07-29 5:00:00,0.3,0.0,0.0,0.6
2020-07-29 6:00:00,0.0,0.0,0.0,0.6
2020-07-29 7:00:00,0.0,0.0,0.0,0.6
2020-07-29 8:00:00,0.4,0.0,0.1,0.6
2020-07-29 9:00:00,0.3,0.0,0.1,0.6
2020-07-29 10:00:00,0.4,0.0,0.2,0.6
2020-07-29 11:00:00,0.2,0.0,0.3,0.6
2020-07-29 12:00:00,0.0,0.4,0.6,0.2
2020-07-29 15:00:00,0.0,0.2,0.2,0.0
2020-07-29 16:00:00,0.0,0.5,0.5,0.0
2020-07-29 17:00:00,0.0,0.2,0.2,0.1
2020-07-29 18:00:00,0.0,0.1,0.1,0.1
2020-07-29 19:00:00,0.1,0.0,0.0,0.1
2020-07-29 20:00:00,0.1,0.0,0.0,0.1
2020-07-29 21:00:00,0.1,0.0,0.0,0.1
2020-07-29 22:00:00,0.3,0.0,0.0,0.3
2020-07-29 23:00:00,0.4,0.0,0.0,0.4
