date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-09-17 0:00:00,0.0,0.0,0.0,0.1
2020-09-17 1:00:00,0.0,0.0,0.0,0.1
2020-09-17 2:00:00,0.0,0.0,0.0,0.0
2020-09-17 3:00:00,0.0,0.0,0.0,0.1
2020-09-17 4:00:00,0.0,0.0,0.0,0.1
2020-09-17 5:00:00,0.0,0.0,0.0,0.0
2020-09-17 6:00:00,0.0,0.0,0.0,0.2
2020-09-17 7:00:00,0.0,0.0,0.0,1.5
2020-09-17 8:00:00,0.0,0.4,0.4,0.6
2020-09-17 9:00:00,0.1,0.6,0.9,0.8
2020-09-17 10:00:00,0.0,1.2,1.4,0.2
2020-09-17 11:00:00,0.0,1.5,1.6,0.1
2020-09-17 12:00:00,0.0,1.5,1.6,0.1
2020-09-17 13:00:00,0.0,1.5,1.6,0.1
2020-09-17 14:00:00,0.0,1.3,1.4,0.1
2020-09-17 15:00:00,0.0,1.1,1.2,0.1
2020-09-17 16:00:00,0.0,0.2,0.7,0.1
2020-09-17 17:00:00,0.2,0.0,0.3,0.4
2020-09-17 18:00:00,0.0,0.0,0.1,0.0
2020-09-17 19:00:00,0.0,0.0,0.0,0.0
2020-09-17 20:00:00,0.0,0.0,0.0,0.1
2020-09-17 21:00:00,0.0,0.0,0.0,0.1
2020-09-17 22:00:00,0.0,0.0,0.0,0.0
2020-09-17 23:00:00,0.0,0.0,0.0,0.1
