date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-04-17 0:00:00,0.0,0.0,0.0,0.4
2020-04-17 1:00:00,0.0,0.0,0.0,0.2
2020-04-17 2:00:00,0.0,0.0,0.0,0.1
2020-04-17 3:00:00,0.0,0.0,0.0,0.1
2020-04-17 4:00:00,0.0,0.0,0.0,0.1
2020-04-17 5:00:00,0.0,0.0,0.0,0.1
2020-04-17 6:00:00,0.0,0.0,0.0,0.1
2020-04-17 7:00:00,0.0,0.1,0.1,0.1
2020-04-17 8:00:00,0.0,0.3,0.3,0.1
2020-04-17 9:00:00,0.0,0.0,0.6,0.3
2020-04-17 10:00:00,0.0,0.0,1.4,0.1
2020-04-17 11:00:00,0.0,0.0,0.3,0.2
2020-04-17 12:00:00,0.0,0.0,0.8,0.2
2020-04-17 13:00:00,0.0,0.0,0.8,2.1
2020-04-17 14:00:00,0.0,0.0,0.7,1.1
2020-04-17 15:00:00,0.0,0.1,0.5,0.5
2020-04-17 16:00:00,0.0,0.0,0.2,0.1
2020-04-17 17:00:00,0.0,0.0,0.0,0.5
2020-04-17 18:00:00,0.0,0.0,0.0,0.4
2020-04-17 19:00:00,0.0,0.0,0.0,0.3
2020-04-17 20:00:00,0.0,0.0,0.0,1.2
2020-04-17 21:00:00,0.0,0.0,0.0,0.4
2020-04-17 22:00:00,0.0,0.0,0.0,0.3
2020-04-17 23:00:00,0.0,0.0,0.0,0.3
