date,Discharge(W),Charge(W),Production(W),Consumption(W)
2020-08-10 0:00:00,0.0,0.0,0.0,0.0
2020-08-10 1:00:00,0.0,0.0,0.0,0.1
2020-08-10 2:00:00,0.0,0.0,0.0,0.0
2020-08-10 3:00:00,0.0,0.0,0.0,0.1
2020-08-10 4:00:00,0.0,0.0,0.0,0.0
2020-08-10 5:00:00,0.0,0.0,0.0,0.0
2020-08-10 6:00:00,0.0,0.0,0.0,0.0
2020-08-10 7:00:00,0.0,0.0,0.0,0.0
2020-08-10 8:00:00,0.0,0.1,0.1,0.0
2020-08-10 9:00:00,0.0,0.5,0.5,0.0
2020-08-10 10:00:00,0.0,0.9,0.9,0.0
2020-08-10 11:00:00,0.0,1.0,1.5,0.0
2020-08-10 12:00:00,0.0,0.0,1.2,0.1
2020-08-10 13:00:00,0.0,0.0,0.9,0.0
2020-08-10 14:00:00,0.0,0.0,1.0,0.1
2020-08-10 15:00:00,0.0,0.0,0.5,0.0
2020-08-10 16:00:00,0.0,0.0,0.3,0.1
2020-08-10 17:00:00,0.0,0.1,0.1,0.0
2020-08-10 18:00:00,0.0,0.0,0.0,0.0
2020-08-10 19:00:00,0.0,0.0,0.0,0.0
2020-08-10 20:00:00,0.0,0.0,0.0,0.0
2020-08-10 21:00:00,0.0,0.0,0.0,0.0
2020-08-10 22:00:00,0.0,0.0,0.0,0.0
2020-08-10 23:00:00,0.0,0.0,0.0,0.0
